timestamp, gyro_rad0, gyro_rad1, gyro_rad2, acc0, acc1, acc2
1706112527453011, 6.40671e-17, -6.83948e-18, -2.94231e-17, 8.82591e-12, 1.71042e-07, -9.8
1706112527461011, 2.79661e-17, -6.70322e-17, -3.01451e-18, 8.82309e-12, 1.71042e-07, -9.8
1706112527473011, -3.57806e-18, -5.99298e-17, -2.46003e-17, 8.82676e-12, 1.71042e-07, -9.8
1706112527481011, 2.05504e-17, -8.00607e-18, -9.79384e-18, 8.82355e-12, 1.71042e-07, -9.8
1706112527493011, 2.28982e-17, 3.83467e-17, -1.51852e-17, 8.82378e-12, 1.71042e-07, -9.8
1706112527501011, 3.06784e-17, 1.67518e-17, -6.83695e-18, 8.82476e-12, 1.71042e-07, -9.8
1706112527509011, 3.33441e-17, -6.18973e-17, -2.93374e-17, 8.82542e-12, 1.71042e-07, -9.8
1706112527521011, -2.53095e-17, 1.17135e-17, -1.53823e-17, 8.82572e-12, 1.71042e-07, -9.8
1706112527533011, -5.72562e-17, 4.90532e-17, -3.15882e-18, 8.81998e-12, 1.71042e-07, -9.8
1706112527541011, 1.52676e-17, 1.55167e-17, -1.35464e-17, 8.82706e-12, 1.71042e-07, -9.8
1706112527553011, 1.44445e-17, 1.11011e-17, -4.42394e-18, 8.8259e-12, 1.71042e-07, -9.8
1706112527561011, 2.27099e-18, 3.96125e-17, -9.33389e-18, 8.82324e-12, 1.71042e-07, -9.8
1706112527573011, 3.08568e-17, -3.6604e-17, -2.02155e-17, 8.82728e-12, 1.71042e-07, -9.8
1706112527581011, -2.45364e-17, -6.78418e-20, -1.321e-17, 8.82228e-12, 1.71042e-07, -9.8
1706112527593011, 2.8679e-17, -5.51186e-18, -5.67947e-18, 8.82427e-12, 1.71042e-07, -9.8
1706112527601011, 9.07987e-18, -2.24408e-17, -2.72167e-17, 8.82548e-12, 1.71042e-07, -9.8
1706112527613011, 6.41201e-17, -2.19289e-17, -2.24794e-17, 8.82729e-12, 1.71042e-07, -9.8
