timestamp, gyro_rad0, gyro_rad1, gyro_rad2, acc0, acc1, acc2
1706113566401034, -1.43877e-07, -1.11386e-07, -2.2009e-15, 3.68392e-07, -3.04841e-07, -9.8
1706113566409034, -1.41015e-07, -1.09169e-07, -2.14322e-15, 3.6108e-07, -2.95378e-07, -9.8
1706113566421034, -1.36827e-07, -1.05924e-07, -2.06311e-15, 3.50303e-07, -2.81568e-07, -9.8
1706113566425034, -1.3546e-07, -1.04867e-07, -2.05089e-15, 3.46967e-07, -2.77053e-07, -9.8
1706113566441034, -1.30121e-07, -1.00736e-07, -1.94457e-15, 3.33253e-07, -2.59332e-07, -9.8
1706113566449034, -1.27531e-07, -9.87302e-08, -1.9244e-15, 3.26506e-07, -2.5075e-07, -9.8
1706113566461034, -1.23743e-07, -9.57971e-08, -1.86043e-15, 3.16803e-07, -2.3825e-07, -9.8
1706113566469034, -1.21281e-07, -9.38917e-08, -1.82498e-15, 3.10566e-07, -2.30099e-07, -9.8
1706113566481034, -1.17679e-07, -9.11018e-08, -1.758e-15, 3.01293e-07, -2.18197e-07, -9.8
1706113566489034, -1.15338e-07, -8.92896e-08, -1.71813e-15, 2.95289e-07, -2.10513e-07, -9.8
1706113566501034, -1.1191e-07, -8.66385e-08, -1.65637e-15, 2.86546e-07, -1.99113e-07, -9.8
1706113566509034, -1.09685e-07, -8.4915e-08, -1.61729e-15, 2.80887e-07, -1.91815e-07, -9.8
1706113566521034, -1.06426e-07, -8.23911e-08, -1.56758e-15, 2.72519e-07, -1.81004e-07, -9.8
1706113566529034, -1.04309e-07, -8.07518e-08, -1.54228e-15, 2.67059e-07, -1.73947e-07, -9.8
1706113566541034, -1.0121e-07, -7.83552e-08, -1.49023e-15, 2.59171e-07, -1.63696e-07, -9.8
1706113566549034, -9.91971e-08, -7.67932e-08, -1.46304e-15, 2.53894e-07, -1.571e-07, -9.8
1706113566561034, -9.62516e-08, -7.45126e-08, -1.41861e-15, 2.46462e-07, -1.47379e-07, -9.8
1706113566569034, -9.43353e-08, -7.30301e-08, -1.36896e-15, 2.41611e-07, -1.40921e-07, -9.8
1706113566581034, -9.15319e-08, -7.0861e-08, -1.33793e-15, 2.34354e-07, -1.31699e-07, -9.8
1706113566589034, -8.97114e-08, -6.94513e-08, -1.29469e-15, 2.29785e-07, -1.25729e-07, -9.8
1706113566601034, -8.70479e-08, -6.73867e-08, -1.27983e-15, 2.22812e-07, -1.16856e-07, -9.8
1706113566609034, -8.53147e-08, -6.60475e-08, -1.25981e-15, 2.18511e-07, -1.1111e-07, -9.8
1706113566621034, -8.27815e-08, -6.40853e-08, -1.21303e-15, 2.11931e-07, -1.02743e-07, -9.8
1706113566629034, -8.11343e-08, -6.2812e-08, -1.15622e-15, 2.07755e-07, -9.73267e-08, -9.8
1706113566641034, -7.87238e-08, -6.09452e-08, -1.11997e-15, 2.01677e-07, -8.93197e-08, -9.8
1706113566649034, -7.71574e-08, -5.97311e-08, -1.12178e-15, 1.97487e-07, -8.41573e-08, -9.8
1706113566661034, -7.48665e-08, -5.79575e-08, -1.07745e-15, 1.91634e-07, -7.6607e-08, -9.8
1706113566669034, -7.33764e-08, -5.68048e-08, -1.03887e-15, 1.87932e-07, -7.16189e-08, -9.8
1706113566677034, -7.19145e-08, -5.56724e-08, -1.04409e-15, 1.84061e-07, -6.68085e-08, -9.8
1706113566689034, -6.97796e-08, -5.40217e-08, -1.01677e-15, 1.78676e-07, -5.97403e-08, -9.8
1706113566701034, -6.77072e-08, -5.24165e-08, -9.71048e-16, 1.73482e-07, -5.29198e-08, -9.8
1706113566709034, -6.63604e-08, -5.13728e-08, -9.59924e-16, 1.69821e-07, -4.84235e-08, -9.8
1706113566721034, -6.43892e-08, -4.98494e-08, -9.24511e-16, 1.64932e-07, -4.1875e-08, -9.8
1706113566729034, -6.3107e-08, -4.88535e-08, -9.12482e-16, 1.61469e-07, -3.76961e-08, -9.8
1706113566741034, -6.12326e-08, -4.74051e-08, -8.82487e-16, 1.56741e-07, -3.14616e-08, -9.8
1706113566749034, -6.0015e-08, -4.64615e-08, -8.64599e-16, 1.53726e-07, -2.74652e-08, -9.8
1706113566761034, -5.82322e-08, -4.50814e-08, -8.21535e-16, 1.49144e-07, -2.15856e-08, -9.8
1706113566769034, -5.70738e-08, -4.41832e-08, -7.96405e-16, 1.4605e-07, -1.77616e-08, -9.8
1706113566781034, -5.53771e-08, -4.28713e-08, -7.88742e-16, 1.41731e-07, -1.2099e-08, -9.8
1706113566789034, -5.42769e-08, -4.20186e-08, -7.71986e-16, 1.39066e-07, -8.49528e-09, -9.8
1706113566801034, -5.26641e-08, -4.07726e-08, -7.30536e-16, 1.34867e-07, -3.15501e-09, -9.8
1706113566809034, -5.16155e-08, -3.99586e-08, -7.21939e-16, 1.32106e-07, 3.0002e-10, -9.8
